ID;Commune;NMI;Chronologie;ID sujet handicapé;sexe;Age min (an);Age max (an);type de dépôt;type de sépulture;contexte normatif;Contexte de la tombe;Commentaire sur contexte;C14 inf;C14 sup;Réf Labo C14;accessoire vestimentaire et parure ;armement, objet de prestige ;dépôt de récipient (céramique verre…) ;autre mobilier;description autre mobilier;Dépôt de fouille | adresse;ID dans dépôt;iconographie URL;Bibliographie;Atteintes invalidantes
#clf_001;TREMBLAY-EN-France;22;"Haut Moyen Âge [500 ; 1000] ";CBL339;Indéterminé;20;99;Secondaire;Multiple;Standard;Funéraire;ossuaire;;;;non;non;non;non;;Neuilly-sur-Marne (93);;;;oui
#clf_002;BOBIGNY;515;"Âge du fer [-800 ; -50] ";I.437;Femme;20;99;Primaire;Individuel;Standard;Funéraire;nécropole;;;;oui;non;non;non;;Neuilly-sur-Marne (93);;;Décryper la différence in V. Delattre, etc.;oui
#clf_003;BOBIGNY;515;"Âge du fer [-800 ; -50] ";I.300;Homme;20;99;Primaire;Individuel;Standard;Funéraire;nécropole;;;;oui;non;non;oui;couteau;Neuilly-sur-Marne (93);;;Poster au GPLF / décrypter volume 2;oui
#clf_004;BONDY;16;"Antiquité gallo-romaine [-50 ; 500] ";I.001;Homme;20;99;Primaire;Individuel;Standard;Funéraire;nécropole;;;;non;non;non;non;;Neuilly-sur-Marne (93);;;rapport fouille;oui
#clf_005;VILLEPINTE;48;"Antiquité gallo-romaine [-50 ; 500] ";I.035;Homme;20;99;Primaire;Individuel;Standard;Funéraire;nécropole;397;567;MSMAP (Pessac);oui;non;non;non;;Neuilly-sur-Marne (93);;;;oui
#clf_006;Moussy-LE-NEUF;56;"Haut Moyen Âge [500 ; 1000] ";3536;Indéterminé;4;6;Primaire;Individuel;Standard;Funéraire;nécropole;;;;non;non;non;non;;Croissy-Beaubourg;;;rapport fouille;oui
#clf_007;Frépillon;193;"Haut Moyen Âge [500 ; 1000] ";2242;Homme;20;99;Primaire;Individuel;Standard;Funéraire;nécropole;;;;non;non;non;non;;Dépôt EVEHA ?;;;rapport fouille / DU de Clarisse Parra-Pieto ;oui
#clf_008;Buthiers-Boulancourt;7;"Néolithique [-6000 ; -2200] ";ST416;Homme;40;99;Primaire;Individuel;Standard;Funéraire;petite nécropole;-4910;-4700;;non;oui;non;oui;squelette d'un jeune ovin-caprin;Dépôt Inrap (Blois, 41) ?;;;nombreux articles;oui
#clf_009;Saint-Ouen-l'Aumone;200 ?;"Moyen Âge classique [1000 ; 1500] ";S29;Indéterminé;40;99;Primaire;Individuel;Standard;Funéraire;cimetière abbatiale, sépulture dans le cloître;;;;non;non;non;non;non;Dépôt du SDAVO;;;Décrypter ;oui
#clf_010;Saint-Denis;1000;"Haut Moyen Âge [500 ; 1000] ";49;Femme;20;99;Primaire;Individuel;Standard;Funéraire;nécropole royale;;;;oui;non;non;non;;Saint-Germain-en-Laye ?;;;;oui
#clf_011;Saint-Maurice;166;"Époque moderne [1500 ; 1800] ";166;Indéterminé;2;5;Primaire;Individuel;Standard;Funéraire;cimetière protestant;;;;non;non;non;non;non;Blois (41);;;rapport de fouilles;oui
#clf_012;Saint-Maurice;166;"Époque moderne [1500 ; 1800] ";275;Femme;20;99;Primaire;Individuel;Standard;Funéraire;cimetière protestant;;;;non;non;non;non;non;Blois (41);;;rapport de fouilles;oui
#clf_013;Saint-Maurice;166;"Époque moderne [1500 ; 1800] ";327;Homme;20;99;Primaire;Individuel;Standard;Funéraire;cimetière protestant;;;;non;non;non;non;non;Blois (41);;;rapport de fouilles;oui
#clf_014;Serris;1065;"Haut Moyen Âge [500 ; 1000] ";sépulture 948;Homme;20;99;Primaire;Individuel;Standard;Funéraire;nécropole;;;;non;non;non;non;non;Dépôt de Serris (brûlé);;;rapport de fouilles;non
#clf_015;Meulan;21;"Époque moderne [1500 ; 1800] ";sépulture 1246;Femme;20;99;Primaire;Individuel;Standard;Funéraire;nécropole abbatiale;;;;oui;non;non;non;non;SRA ?;;;rapport de fouilles;oui
#clf_016;0;;;;;;;;;;;;;;;;;;;;;;;;
#clf_017;0;;;;;;;;;;;;;;;;;;;;;;;;
#clf_018;0;;;;;;;;;;;;;;;;;;;;;;;;
#clf_019;0;;;;;;;;;;;;;;;;;;;;;;;;
#clf_020;0;;;;;;;;;;;;;;;;;;;;;;;;
